Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Engle, Margarita",Drum Dream Girl: How One Girl's Courage Changed Music,Banned in Classrooms,,Rafael López,,Pennsylvania,Central York School District,August 2021,Administrator
"English, Karen",Hot Day on Abbott Avenue,Banned in Classrooms,,"Steptoe, Javaka",,Pennsylvania,Central York School District,August 2021,Administrator
"English, Karen",Nadia's Hands,Banned Pending Investigation,,"Weiner, Jonathan",,Florida,Duval County Public Schools,January 2022,Administrator
"English, Karen",Nikki & Deja (Nikki & Deja Series),Banned in Classrooms,,"Freeman, Laura",,Pennsylvania,Central York School District,August 2021,Administrator
"España, Carla",En Comunidad: Lessons for Centering the Voices and Experiences of Bilingual Latinx Students,Banned in Classrooms,"Yadira Herrera, Luz",,,Pennsylvania,Central York School District,August 2021,Administrator
"Espejo, Roman",Birth Control,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Essa, Huda",Teach Us Your Name: Empowering Children to Teach Others to Pronounce Their Names Correctly,Banned in Classrooms,,"Cojocaru, Diana",,Pennsylvania,Central York School District,August 2021,Administrator
"Eugenides, Jeffrey",Middlesex,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Evans, Shane W.",We March,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Evans, Shane W.",We March,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Evaristo, Bernardine","Girl, Woman, Other",Banned in Libraries and Classrooms,,,"Aguilar, Julia Osuna",South Dakota,Rapid City Area Schools,April 2022,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Florida,Orange County Public Schools,October 2021,Formal Challenge
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Iowa,Waukee Community School District,October 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Michigan,Novi Community School District,January 2022,Formal Challenge
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Minnesota,Wayzata Public Schools,January 2022,Administrator
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Missouri,Wentzville School District,October 2021,Formal Challenge
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,New York,Yorktown Central School District,January 2022,Formal Challenge
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Ohio,Hudson City Schools,September 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Pennsylvania,North Penn School District,September 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,February 2022,Administrator
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Prosper Independent School District,January 2022,Administrator
"Evison, Jonathan",Lawn Boy,Banned in Libraries and Classrooms,,,,Texas,Tyler Independent School District,November 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Utah,Canyons School District,October 2021,Administrator
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Virginia,Fairfax County Public Schools,September 2021,Formal Challenge
"Evison, Jonathan",Lawn Boy,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administrator
"Ewert, Marcus","10,000 Dresses",Banned Pending Investigation,,"Ray, Rex",,Florida,Duval County Public Schools,January 2022,Administrator
"Ewing, Eve L.",Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Fabiny, Sarah",Who Was Frida Kahlo? (Who was...? Series),Banned in Classrooms,,"Hoare, Jerry",,Pennsylvania,Central York School District,August 2021,Administrator
"Fabiny, Sarah",Who Was Rachel Carson? (Who was...? Series),Banned in Classrooms,,"Putra, Dede",,Pennsylvania,Central York School District,August 2021,Administrator
"Fantauzzo, Laurel Flores",My Heart Underwater,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Fantauzzo, Laurel Flores",My Heart Underwater,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Farizan, Sara",If You Could Be Mine,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Farizan, Sara",Tell Me Again How a Crush Should Feel,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Farrell, Courtney",The Abortion Debate (Essential Viewpoints),Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Farrell, Courtney",The Abortion Debate (Essential Viewpoints),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Farrey, Brian",With Or Without You,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Faruqi, Reem",Lailah's Lunchbox: A Ramadan Story,Banned Pending Investigation,,"Lyon, Lea",,Florida,Duval County Public Schools,January 2022,Administrator
"Faruqi, Saadia",A Place at the Table,Banned in Classrooms,"Shovan, Laura",,,North Carolina,Wilkes County School District,May 2022,Administrator
"Faruqi, Saadia",Yasmin the Builder (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Chef (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Explorer (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Fashionista (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Friend (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Gardener (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Librarian (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Painter (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Recycler (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Scientist (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Singer (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Soccer Star (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Superhero (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Teacher (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Writer (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faruqi, Saadia",Yasmin the Zookeeper (Yasmin Series),Banned in Classrooms,,"Aly, Hatem",,Pennsylvania,Central York School District,August 2021,Administrator
"Faux, Marian",Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Faux, Marian",Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Federle, Tim",Nate Expectations,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Federle, Tim",The Great American Whatever,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Federle, Tim",The Great American Whatever,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Fierstein, Harvey",The Sissy Duckling,Banned in Libraries and Classrooms,,"Cole, Henry",,Florida,Broward County Public Schools,June 2022,Administrator
"Finch, Michelle",Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,Banned Pending Investigation,"Finch, Phoenix","Davey, Sharon",,Indiana,Carmel Clay Schools,July 2021,Administrator
"Finneyfrock, Karen",The Sweet Revenge of Celia Door,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Firmston, Kim",Hook Up,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Fisanick, Christina",Do Abstinence Programs Work?,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Fitzsimons, Isaac",The Passing Playbook,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Flake, Sharon G.",Who Am I Without Him?: A Short Story Collection about Girls and Boys in Their Lives,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Fleischman, Paul",Seedfolks,Banned in Libraries,,"Pedersen, Judy",,Texas,Birdville Independent School District,October 2021,Formal Challenge
"Floreen, Tim",Tattoo Atlas,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Floreen, Tim",Willful Machines,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Florence, Debbi Michiko","Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administrator
"Florence, Debbi Michiko","Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Banned Pending Investigation,,"Vukovic, Elizabet",,Florida,Duval County Public Schools,January 2022,Administrator
"Florence, Debbi Michiko","Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administrator
"Florence, Debbi Michiko","Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administrator
"Florence, Debbi Michiko","Jasmine Toguchi, Super Sleuth (Jasmine Toguchi Series)",Banned in Classrooms,,"Vukovic, Elizabet",,Pennsylvania,Central York School District,August 2021,Administrator
"Flynn, Gillian",Gone Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Foley, Jessie Ann",The Carnival at Bray,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Folman, Ari",Anne Frank's Diary: The Graphic Adaptation,Banned in Libraries,"Frank, Anne","Polonsky, David",,Texas,Katy Independent School District,January 2022,Administrator
"Ford, Michael Thomas",Suicide Notes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Forman, Gayle",I Was Here,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Frame, Jeron Ashford",Winter Candle,Banned Pending Investigation,,"Schuett, Stacey",,Florida,Duval County Public Schools,January 2022,Administrator
"Frank, E. R.",Dime,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Frank, ER",Life is Funny,Banned in Libraries and Classrooms,,,,North Carolina,Moore County Schools,April 2022,Administrator
"Franklin, Ashley",Not Quite Snow White,Banned in Classrooms,,"Glenn, Ebony",,Pennsylvania,Central York School District,August 2021,Administrator
"Franklin, Emily",Tessa Masterson Will Go to Prom,Banned Pending Investigation,"Halpin, Brendan",,,Texas,Granbury Independent School District,January 2022,Administrator
"Franklin, Emily",Tessa Masterson Will Go to Prom,Banned in Libraries,"Halpin, Brendan",,,Texas,North East Independent School District,December 2021,Administrator
"Franklin, Tee",Bingo Love #1,Banned in Libraries and Classrooms,,"St. Onge, Jenn; San, Joy; FT, Genevieve",,Tennessee,Collierville Schools,February 2022,Administrator
"Frasier, Crystal",Cheer Up: Love and Pompoms,Banned Pending Investigation,"Wise, Val",,,Tennessee,Collierville Schools,February 2022,Administrator
"Joseph, Frederick",The Black Friend: On Being a Better White Person,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Joseph, Frederick",The Black Friend: On Being a Better White Person,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
"Fredrickson, Lane",Monster Trouble!,Banned in Classrooms,,"Robertson, Michael",,Pennsylvania,Central York School District,August 2021,Administrator
"Freire, Paulo",Pedagogy of the Oppressed,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Frick, Kit",All Eyes on Us,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Friend, Natasha",Lush,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Fritz, Jean",The Double Life of Pocahontas,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Fuerst, Jeffrey B.",African American Cowboys: True Heroes Of The Old West,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"G., Mady",A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,"Zuckerberg, J. R.",,,Florida,Indian River County School District,November 2021,Administrator
"G., Mady",A Quick & Easy Guide to Queer & Trans Identities,Banned in Libraries and Classrooms,"Zuckerberg, J. R.",,,Tennessee,Collierville Schools,February 2022,Administrator
"Gabaldon, Diana",Outlander (Outlander Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Gabriel, Dani",Sam!,Banned Pending Investigation,,"Liu-Trujillo, Robert",,Florida,Duval County Public Schools,January 2022,Administrator
"Gailey, Sarah",When We Were Magic,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gailey, Sarah",When We Were Magic,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Gaines, Ernest J.",A Lesson Before Dying,Banned Pending Investigation,,,,Virginia,Virginia Beach City Public Schools,October 2021,Administrator
"Gale, Heather",Ho'onani: Hula Warrior,Banned Pending Investigation,,"Song, Mika",,Texas,North East Independent School District,December 2021,Administrator
"Garber, Romina",Lobizona (Wolves of No World Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Garber, Romina",Lobizona: A Novel (Wolves of No World Series),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Garber, Stephanie",Caraval (Caraval Series),Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administrator
"García, Cristina",Dreaming in Cuban,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator
"García, Cristina",Dreaming in Cuban,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Garcia, Gabi",Escuchando con mi Corazón: Un cuento de bondad y autocompasión (Listening to My Heart),Banned in Classrooms,,"Tan, Ying Hui",,Pennsylvania,Central York School District,August 2021,Administrator
"Garcia, Isabella",Cow on the Town: Practicing the Ow Sound,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Garden, Nancy",Annie on My Mind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Garden, Nancy","Hear Us Out!: Lesbian and Gay Stories of Struggle, Progress, and Hope, 1950 to the Present",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Garden, Nancy",The Year They Burned the Books,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Gardner, Faith",Girl on the Line,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Garrett, Camryn",Full Disclosure,Banned in Libraries and Classrooms,,,,Texas,Killeen Independent School District,April 2022,Administrator
"Garsee, Jeannine",Say the Word,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Garvin, Jeff",Symptoms of Being Human,Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Garvin, Jeff",Symptoms of Being Human,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Garvin, Jeff",Symptoms of Being Human,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Garvin, Jeff",Symptoms of Being Human,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Gay, Geneva","Culturally Responsive Teaching: Theory, Research, and Practice",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Gay, Roxane",Hunger: A Memoir of (My) Body,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Geerling, Marjetta",Fancy White Trash,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Geerling, Marjetta",Fancy White Trash,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Gennari, Jennifer",My Mixed-Up Berry Blue Summer,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Gennari, Jennifer",My Mixed-Up Berry Blue Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"George, Elizabeth",The Edge of the Water (Whidbey Island Saga Series),Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"George, Linda",Luis Munoz Marin (Community Builders),Banned in Classrooms,"George, Charles",,,Pennsylvania,Central York School District,August 2021,Administrator
"George, Madeleine",The Difference Between You and Me,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Gephart, Donna",Lily and Dunkin,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Gephart, Donna",Lily and Dunkin,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Gephart, Donna",Lily and Dunkin,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Gephart, Donna",Lily and Dunkin,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Giles, Gail",Girls Like Us (2015),Banned in Libraries and Classrooms,,,,Texas,Keller Independent School District,December 2021,Formal Challenge
"Giles, Lamar",Not So Pure and Simple,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gino, Alex",Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Gino, Alex",Melissa (George),Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator
"Gino, Alex",Melissa (George),Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Gino, Alex",Melissa (George),Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Gino, Alex",Melissa (George),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Gino, Alex",Melissa (George),Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administrator
"Gino, Alex",Melissa (George),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Gino, Alex",Rick,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator
"Gino, Alex",Rick,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Ginwright, Shawn A.",Black Youth Rising: Activism and Radical Healing in Urban America,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Ginwright, Shawn A.",Hope and Healing in Urban Education: How Urban Activists and Teachers are Reclaiming Matters of the Heart,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Girard, M-E",Girl Mans Up,Banned in Libraries,,,,Georgia,Cherokee County School District,January 2022,Formal Challenge
"Girard, M-E",Girl Mans Up,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Girzone, Joseph F.",Joshua and the City,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Glines, Abbi",After the Game (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",Bad for You (Sea Breeze Series),Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Glines, Abbi",Bad for You (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",Losing the Field (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",Making a Play (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Glines, Abbi",The Vincent Boys (The Vincent Boys Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Glines, Abbi",The Vincent Brothers (The Vincent Boys Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",Under the Lights (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",Until Friday Night (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Glines, Abbi",Until the End (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Godin, Thelma Lynne",The Hula-Hoopin' Queen,Banned in Classrooms,,"Brantley-Newton, Vanessa",,Pennsylvania,Central York School District,August 2021,Administrator
"Gold, Susan Dudley",Roe v. Wade: A Woman's Choice?,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Golding, William",Lord of the Flies,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Goldman, Steven","Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Goldsaito, Katrina",The Sound of Silence,Banned Pending Investigation,,"Kuo, Julia",,Florida,Duval County Public Schools,January 2022,Administrator
"Gonsalves, Florence",Love & Other Carnivorous Plants,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gonzales, Kathryn","Trans+: Love, Sex, Romance, and Being You",Banned Pending Investigation,"Rayne, Karen",,,Florida,Walton County School District,April 2022,Administrator
"Gonzales, Kathryn","Trans+: Love, Sex, Romance, and Being You",Banned in Libraries and Classrooms,"Rayne, Karen",,,Tennessee,Collierville Schools,February 2022,Administrator
"Gonzales, Sophie",Perfect on Paper,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gonzalez, Maya Christina","They, She, He Easy as ABC",Banned in Classrooms,"SG, Matthew",,,Pennsylvania,Central York School District,August 2021,Administrator
"Gonzalez, Maya Christina","They, She, He Easy as ABC",Banned Pending Investigation,"SG, Matthew",,,Texas,North East Independent School District,December 2021,Administrator
"González, Rigoberto",What Drowns the Flowers in Your Mouth: A Memoir of Brotherhood,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gonzalez, Xelena",All Around Us,Banned Pending Investigation,,"Garcia, Adriana M.",,Florida,Duval County Public Schools,January 2022,Administrator
"Goode, Laura",Sister Mischief,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Goode, Laura",Sister Mischief,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
"Goslee, S. J.",How Not to Ask a Boy to Prom,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Goslee, S. J.",Whatever.: or how junior year became totally f$@ked,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Gottfred, B. T.",Forever for a Year,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator
"Gottfred, B. T.",Forever for a Year,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator
"Gottfred, B. T.",Forever for a Year,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
"Gottfred, B. T.",The Handsome Girl & Her Beautiful Boy,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator
"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator
"Gottfred, B. T.",The Nerdy and the Dirty,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator
"Gottfred, B. T.",The Nerdy and the Dirty,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
"Gottlieb, Iris",Seeing Gender: An Illustrated Guide to Identity and Expression,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gough, Erin",Amelia Westlake Was Never Here,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gould, Sasha",Cross My Heart (Cross My Heart Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Gourley, Catherine",Who Was Maria Tallchief? (Who was...? Series),Banned in Classrooms,,"Taylor, Val Paul",,Pennsylvania,Central York School District,August 2021,Administrator
"Gowen, L. Kris",Image and Identity: Becoming the Person You Are,Banned in Libraries,"McKenna, Molly",,,Texas,North East Independent School District,December 2021,Administrator
"Gratton, Tessa",Night Shine (Night Shine Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Gratz, Alan",Refugee,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Gratz, Alan",Refugee,Banned Pending Investigation,,,,Texas,Katy Independent School District,January 2022,Administrator
"Green, John",Let it Snow: Three Holiday Romances,Banned in Libraries,"Johnson, Maureen; Myracle, Lauren",,,Wisconsin,School District of Waukesha,December 2021,Administrator
"Green, John",Looking for Alaska,Banned in Libraries and Classrooms,,,,Florida,Hernando School District,November 2021,Administrator
"Green, John",Looking for Alaska,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
