Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
Amnesty International,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Anaya, Rudolfo","Bless Me, Ultima",Banned Pending Investigation,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Ancrum, K.",The Weight of the Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Anders, Charlie Jane",Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Anderson, Airlie",Neither,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
"Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Anderson, Laurie Halse",Shout,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Flagler Schools,November 2021,Administrator
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Anderson, Laurie Halse",Speak,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Anderson, Laurie Halse",Speak,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
"Anderson, Laurie Halse",Speak,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Anderson, M. T.",Feed,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Andrews, Arin",Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Florida,Osceola County School District,April 2022,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Georgia,Forsyth County Schools,January 2022,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Iowa,Ankeny Community School District,November 2021,Formal Challenge
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Downingtown Area School District,October 2021,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Pennsylvania,Elizabethtown Area School District,April 2022,Formal Challenge
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Tennessee,Blount County Schools,November 2021,Formal Challenge
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,,,Texas,Katy Independent School District,November 2021,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,,,Texas,Keller Independent School District,November 2021,Formal Challenge
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,Lamar Consolidated Independent School District,December 2021,Administrator
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Andrews, Jesse",The Haters,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
"Andrews, Jesse",The Haters,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator
"Andrews, Troy",The 5 O'Clock Band,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administrator
"Andrews, Troy",Trombone Shorty,Banned in Classrooms,,"Collier, Bryan",,Pennsylvania,Central York School District,August 2021,Administrator
"Angelou, Maya",And Still I Rise,Banned Pending Investigation,,,,Texas,Klein Independent School District,December 2021,Administrator
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,,,Oklahoma,Edmond Public Schools,October 2021,Administrator
"Ansari, Aziz",Modern Romance: An Investigation,Banned Pending Investigation,"Klinenberg, Eric",,,Missouri,Wentzville School District,October 2021,Formal Challenge
"Anstey, Cindy",Duels and Deception,Banned in Libraries,,,,Texas,Katy Independent School District,April 2022,Administrator
"Apelqvist, Eva",LGBTQ Families: The Ultimate Teen Guide,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Applegate, Katherine",Wishtree,Banned in Libraries and Classrooms,,"Santoso, Charles",,Florida,Indian River County School District,November 2021,Administrator
"Armentrout, Jennifer L.",Meet Cute: Some People Are Destined to Meet,Banned Pending Investigation,"Clayton, Dhonielle; Cotugno, Katie; Davies, Jocelyn; LaCour, Nina; Lord, Emery; McGee, Katharine; Morgan, Kass; Russo, Meredith; Shepard, Sara; Yoon, Nicola; Zoboi, Ibi; Murphy, Julie",,,Texas,Granbury Independent School District,January 2022,Administrator
"Arnold, Elana K.",A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator
"Arnold, Elana K.",Bat and the End of Everything (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator
"Arnold, Elana K.",Bat and the Waiting Game (A Boy Called Bat Series),Banned in Classrooms,,"Santoso, Charles",,Pennsylvania,Central York School District,August 2021,Administrator
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Arnold, Elana K.",Infandous,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Arnold, Elana K.",Infandous,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator
"Arnold, Elana K.",Red Hood,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administrator
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Cypress-Fairbanks Independent School District,April 2022,Administrator
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,May 2022,Administrator
"Asano, Inio",A Girl on the Shore,Banned in Libraries and Classrooms,,,,Ohio,Hudson City Schools,September 2021,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Santa Rosa County District Schools,April 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Florida,St. Lucie Public Schools,December 2021,Formal Challenge
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,,,Texas,Katy Independent School District,October 2021,Administrator
Atinuke,Anna Hibiscus (Anna Hibiscus Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries,,,,Georgia,Forsyth County Schools,January 2022,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,Kansas,Goddard Public Schools,November 2021,Administrator
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Libraries,,"Nault, Renee",,Oregon,Medford School District 549C,April 2022,Formal Challenge
